HCP_ID,HCP_Name,Address_Line1,City,State,ZIP,Specialty,Influence_Score,Bridge_Score,Eigenvector_Score,Final_Segment,Patients_Treated,Patients_Prescribed,Patients_Diagnosed,Patients_Count,Mistreated_Patients,Affiliation,HCO_ID,Email,Region,Territory,Territory_Name,Latitude,Longitude,Cluster_ID,Incoming_Referrals,Outgoing_Referrals
1699821892,Margaret Kay Wilson,4619 KANAWHA AVE SW,SOUTH CHARLESTON,WV,25309,Other Specialists,6.88,7.52,9.2,Diagnoser,0,22,1,1,5,"WEST VIRGINIA UNIVERSITY HEALTH SYSTEM, INC",9001874,margaret.wilson@email.com,Mid Atlantic,2120007,"Pittsburgh, PA",38.31177,-81.75715,5,0,1
1841218872,TAMEJIRO TAKUBO,4619 KANAWHA AVE SW,SOUTH CHARLESTON,WV,25309,Sleep Specialists,7.45,5.58,1.27,Key Influencer,0,6,2,2,2,"WEST VIRGINIA UNIVERSITY HEALTH SYSTEM, INC",9001874,tamejiro.takubo@email.com,Mid Atlantic,2120007,"Pittsburgh, PA",38.31177,-81.75715,6,4,2
1063617439,Charles Jane Lopez,4111 BEN FRANKLIN BLVD,DURHAM,NC,27704,NP/PA,2.55,6.36,6.87,Diagnoser,0,3,1,1,6,"RALEIGH NEUROLOGY ASSOCIATES, PA",9001390,charles.lopez@email.com,Southeast,2130003,North Carolina,36.04088,-78.83007,1,2,1
1801209721,KATHERINE M MEEKER,2411 MARTIN LUTHER KING JR BLVD,EUGENE,OR,97401,PCP,4.63,9.64,6.76,Bridger,0,29,1,1,10,LANE COUNTY BEHAVIORAL HEALTH,9000874,katherine.meeker@email.com,West,2160002,"Portland, OR",44.06803,-123.08171,2,1,1
1922499219,Daniel Ann King,100 RICE MINE ROAD LOOP,TUSCALOOSA,AL,35406,Sleep Specialists,3.59,7.1,1.46,Diagnoser,0,23,1,1,3,ALABAMA NEUROLOGY AND SLEEP MEDICINE,9000070,daniel.king@email.com,Southeast,2130007,"Birmingham, AL",33.33194,-87.4683,2,0,1
1003031691,Mary Grace Gonzalez,100 RICE MINE ROAD LOOP,TUSCALOOSA,AL,35406,Pulmonologist,7.91,3.09,7.31,Key Influencer,0,30,1,1,10,ALABAMA NEUROLOGY AND SLEEP MEDICINE,9000070,mary.gonzalez@email.com,Southeast,2130007,"Birmingham, AL",33.33194,-87.4683,3,1,1
1679708754,STEVE THOMAS KIRK,4111 BEN FRANKLIN BLVD,DURHAM,NC,27704,Sleep Specialists,1.98,1.67,7.78,Bridger,0,11,1,1,4,"RALEIGH NEUROLOGY ASSOCIATES, PA",9001390,steve.kirk@email.com,Southeast,2130003,North Carolina,36.04088,-78.83007,7,2,1
1114250420,MISTY DAWN ARY,1200 CORPORATE DR,BIRMINGHAM,AL,35242,Sleep Specialists,7.01,8.32,5.46,Referrer,0,7,2,2,2,GRAYSON AND ASSOCIATES PC,9000668,misty.ary@email.com,Southeast,2130007,"Birmingham, AL",33.42371,-86.67073,1,0,2
1275109605,Donna Ann Taylor,1701 E 23RD AVE,HUTCHINSON,KS,67502,NP/PA,1.41,9.51,2.06,Referrer,0,28,3,3,7,HUTCHINSON REGIONAL MEDICAL CENTER,9000773,donna.taylor@email.com,South Central,2150004,"Saint Louis, MO",38.12146,-97.92673,6,3,3
1790883429,JENNA COOPER,100 RICE MINE ROAD LOOP,TUSCALOOSA,AL,35406,Sleep Specialists,9.67,7.46,3.78,Bridger,0,30,14,14,3,ALABAMA NEUROLOGY AND SLEEP MEDICINE,9000070,jenna.cooper@email.com,Southeast,2130007,"Birmingham, AL",33.33194,-87.4683,7,20,14
